TIPO DIA,AÑO,MES,DIA,HORA,DEMANDA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA
1--ENE,2023,1,1,0,799.04659,2491463.0,276587.0,2768050.0,0.0,-999.0,16.26935471902603,96.96634416647098,0.5859474250826394,0.0,16.020932342262604,4810.2,178.76,128.27,2023-01-01 00:00:00
2--ENE,2023,1,2,0,714.76696,2491463.0,276587.0,2768050.0,0.0,-999.0,16.02243460558877,96.77945683784614,0.1020010259930275,0.0,15.764029193836816,4810.2,178.76,128.27,2023-01-02 00:00:00
MAVENE,2023,1,3,0,838.62478,2491463.0,276587.0,2768050.0,0.0,-999.0,16.252686970972345,98.67628154476978,0.2884929535232384,0.0,16.153506071060853,4810.2,178.76,128.27,2023-01-03 00:00:00
MIVENE,2023,1,4,0,828.97481,2491463.0,276587.0,2768050.0,0.0,-999.0,15.395725489062697,99.1955444193566,0.4377055327757808,0.0,15.32108883148787,4842.26,178.76,128.27,2023-01-04 00:00:00
JUVENE,2023,1,5,0,865.29762,2491463.0,276587.0,2768050.0,0.0,-999.0,14.683923386499522,99.6190033597659,0.0091680063582666,0.0,14.854236408301874,4924.0,178.76,128.27,2023-01-05 00:00:00
VIVENE,2023,1,6,0,872.68791,2491463.0,276587.0,2768050.0,0.0,-999.0,15.797004999909683,99.1441004280992,0.6640528856053901,0.0,15.729592019652824,4989.58,178.76,128.27,2023-01-06 00:00:00
SAALFENE,2023,1,7,0,860.17739,2491463.0,276587.0,2768050.0,0.0,-999.0,15.96077814707104,98.57609150846262,0.689044059897762,0.0,15.832310828922887,4885.66,178.76,128.27,2023-01-07 00:00:00
DOALFENE,2023,1,8,0,805.56359,2491463.0,276587.0,2768050.0,0.0,-999.0,16.118548754538395,99.53512844059895,0.6522322537526417,0.0,16.081179754700962,4885.66,178.76,128.27,2023-01-08 00:00:00
LFENE,2023,1,9,0,748.30516,2491463.0,276587.0,2768050.0,0.0,-999.0,15.583161203735484,98.88963472480626,0.208174740340673,0.0,15.49497353010242,4885.66,178.76,128.27,2023-01-09 00:00:00
MAVENE,2023,1,10,0,762.20282,2491463.0,276587.0,2768050.0,0.0,-999.0,16.18880044074348,98.89260032513864,1.7844171673199547,0.0,16.10521878217518,4885.66,178.76,128.27,2023-01-10 00:00:00
MIVENE,2023,1,11,0,843.61647,2491463.0,276587.0,2768050.0,0.0,-999.0,16.113344842036813,97.28563120608368,0.3373687433391738,0.0,15.909017705605027,4807.85,178.76,128.27,2023-01-11 00:00:00
JUVENE,2023,1,12,0,853.21047,2491463.0,276587.0,2768050.0,0.0,-999.0,14.91261495276458,97.75315582088471,0.6184712053611748,0.0,14.72829854590777,4748.54,178.76,128.27,2023-01-12 00:00:00
VIVENE,2023,1,13,0,864.63282,2491463.0,276587.0,2768050.0,0.0,-999.0,16.018954169903,95.30098974368238,0.4009331045320712,0.0,15.640385683062082,4692.04,178.76,128.27,2023-01-13 00:00:00
SAVENE,2023,1,14,0,889.02845,2491463.0,276587.0,2768050.0,0.0,-999.0,16.772614522859055,97.8935282455158,0.1773008905185961,0.0,16.619529553295642,4693.99,178.76,128.27,2023-01-14 00:00:00
DOVENE,2023,1,15,0,826.70548,2491463.0,276587.0,2768050.0,0.0,-999.0,16.14215783674428,98.87355558967504,0.3138677372157295,0.0,16.053356966095265,4693.99,178.76,128.27,2023-01-15 00:00:00
LUNES,2023,1,16,0,811.8106,2491463.0,276587.0,2768050.0,0.0,-999.0,15.613848864724265,98.98036071241488,0.1200853416665161,0.0,15.529822380376077,4693.99,178.76,128.27,2023-01-16 00:00:00
MARTES,2023,1,17,0,883.9306,2491463.0,276587.0,2768050.0,0.0,-999.0,16.541780712053612,99.34090586152708,0.1277026751684399,0.0,16.49940652806127,4693.99,178.76,128.27,2023-01-17 00:00:00
MIERCOLES,2023,1,18,0,880.05015,2491463.0,276587.0,2768050.0,0.0,-999.0,15.5442134390636,96.9609811383465,0.5532402919022417,0.0,15.2846487129929,4691.09,178.76,128.27,2023-01-18 00:00:00
