Municipio,Año,Mes,Departamento,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ABEJORRAL,2018,1,ANTIOQUIA,2627,4168,393,31,2,0,7221,58,482,125,9,674
ABEJORRAL,2018,10,ANTIOQUIA,2657,4259,392,30,2,0,7340,57,478,124,9,668
ABEJORRAL,2018,11,ANTIOQUIA,2660,4261,393,28,2,0,7344,57,478,124,9,668
ABEJORRAL,2018,12,ANTIOQUIA,2661,4265,393,28,2,0,7349,58,478,124,9,669
ABEJORRAL,2018,2,ANTIOQUIA,2643,4204,393,31,2,0,7273,58,482,125,9,674
ABEJORRAL,2018,3,ANTIOQUIA,2648,4219,393,32,2,0,7294,58,482,125,9,674
ABEJORRAL,2018,4,ANTIOQUIA,2652,4222,392,32,2,0,7300,58,482,125,9,674
ABEJORRAL,2018,5,ANTIOQUIA,2653,4208,391,31,2,0,7285,57,481,124,9,671
ABEJORRAL,2018,6,ANTIOQUIA,2657,4229,390,31,2,0,7309,57,480,124,9,670
ABEJORRAL,2018,7,ANTIOQUIA,2656,4241,391,33,2,0,7323,57,477,124,9,667
ABEJORRAL,2018,8,ANTIOQUIA,2660,4255,392,31,2,0,7340,57,478,124,9,668
ABEJORRAL,2018,9,ANTIOQUIA,2654,4255,392,30,2,0,7333,57,478,124,9,668
ABEJORRAL,2019,1,ANTIOQUIA,2670,4344,396,28,2,0,7440,59,481,124,9,673
ABEJORRAL,2019,10,ANTIOQUIA,2733,4535,406,31,2,0,7707,63,491,124,9,687
ABEJORRAL,2019,11,ANTIOQUIA,2717,4415,400,31,2,0,7565,58,486,124,9,677
ABEJORRAL,2019,12,ANTIOQUIA,2742,4542,407,32,2,0,7725,65,490,124,9,688
ABEJORRAL,2019,2,ANTIOQUIA,2675,4408,401,28,2,0,7514,63,486,124,9,682
ABEJORRAL,2019,3,ANTIOQUIA,2674,4369,397,31,2,0,7473,58,480,124,9,671
ABEJORRAL,2019,4,ANTIOQUIA,2679,4428,403,30,2,0,7542,62,485,124,9,680
ABEJORRAL,2019,5,ANTIOQUIA,2680,4396,397,31,2,0,7506,59,483,124,9,675
ABEJORRAL,2019,6,ANTIOQUIA,2682,4448,403,31,2,0,7566,62,487,124,9,682
ABEJORRAL,2019,7,ANTIOQUIA,2679,4396,398,31,2,0,7506,58,483,124,9,674
ABEJORRAL,2019,8,ANTIOQUIA,2699,4455,404,31,2,0,7591,63,487,124,9,683
ABEJORRAL,2019,9,ANTIOQUIA,2706,4411,399,31,2,0,7549,58,483,125,8,674
ABEJORRAL,2020,1,ANTIOQUIA,2742,4540,409,41,2,0,7734,64,489,124,9,686
ABEJORRAL,2020,10,ANTIOQUIA,2784,4616,409,32,2,0,7843,67,494,126,96,783
ABEJORRAL,2020,11,ANTIOQUIA,2784,4624,409,31,2,0,7850,67,494,126,96,783
ABEJORRAL,2020,12,ANTIOQUIA,2787,4637,409,30,2,0,7865,67,494,126,96,783
ABEJORRAL,2020,2,ANTIOQUIA,2718,4338,398,42,4,0,7500,60,481,130,96,767
ABEJORRAL,2020,3,ANTIOQUIA,2718,4342,398,42,4,0,7504,60,483,130,96,769
ABEJORRAL,2020,4,ANTIOQUIA,2719,4354,398,31,4,0,7506,60,489,124,96,769
ABEJORRAL,2020,5,ANTIOQUIA,2744,4419,401,31,2,0,7597,62,491,125,96,774
ABEJORRAL,2020,6,ANTIOQUIA,2759,4521,406,31,2,0,7719,65,495,124,96,780
ABEJORRAL,2020,7,ANTIOQUIA,2768,4589,408,32,2,0,7799,67,495,124,96,782
ABEJORRAL,2020,8,ANTIOQUIA,2777,4588,408,32,2,0,7807,67,495,124,96,782
ABEJORRAL,2020,9,ANTIOQUIA,2782,4607,408,33,2,0,7832,67,495,126,96,784
ABEJORRAL,2021,1,ANTIOQUIA,2785,4641,409,30,2,0,7867,67,495,126,96,784
