Código Municipio;Código Centro Poblado;Nombre Departamento;Nombre Municipio;Nombre Centro Poblado;Tipo Centro Poblado;Longitud;;Latitud;Distrito;Tipo de Municipio;Area Metropolitana
05001;05001000;ANTIOQUIA;MEDELLIN;MEDELLIN;CABECERA MUNICIPAL (CM);-75.57600171;;6.248586367;;MUNICIPIO;AREA METROPOLITANA DEL VALLE DE ABURRÁ
05002;05002000;ANTIOQUIA;ABEJORRAL;ABEJORRAL;CABECERA MUNICIPAL (CM);-75.42874039;;5.789301114;;MUNICIPIO;
05004;05004000;ANTIOQUIA;ABRIAQUI;ABRIAQUI;CABECERA MUNICIPAL (CM);-76.06429487;;6.632281955;;MUNICIPIO;
05021;05021000;ANTIOQUIA;ALEJANDRIA;ALEJANDRIA;CABECERA MUNICIPAL (CM);-75.1413345;;6.376062643;;MUNICIPIO;
05030;05030000;ANTIOQUIA;AMAGA;AMAGA;CABECERA MUNICIPAL (CM);-75.70194834;;6.038808424;;MUNICIPIO;
05031;05031000;ANTIOQUIA;AMALFI;AMALFI;CABECERA MUNICIPAL (CM);-75.07747492;;6.909673605;;MUNICIPIO;
05034;05034000;ANTIOQUIA;ANDES;ANDES;CABECERA MUNICIPAL (CM);-75.87879408;;5.656769713;;MUNICIPIO;
05036;05036000;ANTIOQUIA;ANGELOPOLIS;ANGELOPOLIS;CABECERA MUNICIPAL (CM);-75.71135338;;6.109612778;;MUNICIPIO;
05038;05038000;ANTIOQUIA;ANGOSTURA;ANGOSTURA;CABECERA MUNICIPAL (CM);-75.33510912;;6.885184415;;MUNICIPIO;
05040;05040000;ANTIOQUIA;ANORI;ANORI;CABECERA MUNICIPAL (CM);-75.14834496;;7.074710041;;MUNICIPIO;
05042;05042000;ANTIOQUIA;SANTA FE DE ANTIOQUIA;SANTA FE DE ANTIOQUIA;CABECERA MUNICIPAL (CM);-75.82707832;;6.55653286;;MUNICIPIO;
05044;05044000;ANTIOQUIA;ANZA;ANZA;CABECERA MUNICIPAL (CM);-75.85444876;;6.302666764;;MUNICIPIO;
05045;05045000;ANTIOQUIA;APARTADO;APARTADO;CABECERA MUNICIPAL (CM);-76.62589092;;7.883251082;;MUNICIPIO;
05051;05051000;ANTIOQUIA;ARBOLETES;ARBOLETES;CABECERA MUNICIPAL (CM);-76.42665816;;8.849918273;;MUNICIPIO;
05055;05055000;ANTIOQUIA;ARGELIA;ARGELIA;CABECERA MUNICIPAL (CM);-75.14106336;;5.731479228;;MUNICIPIO;
05059;05059000;ANTIOQUIA;ARMENIA;ARMENIA;CABECERA MUNICIPAL (CM);-75.78662454;;6.155672406;;MUNICIPIO;
05079;05079000;ANTIOQUIA;BARBOSA;BARBOSA;CABECERA MUNICIPAL (CM);-75.3316403;;6.439226012;;MUNICIPIO;AREA METROPOLITANA DEL VALLE DE ABURRÁ
05086;05086000;ANTIOQUIA;BELMIRA;BELMIRA;CABECERA MUNICIPAL (CM);-75.66737372;;6.606158659;;MUNICIPIO;
05088;05088000;ANTIOQUIA;BELLO;BELLO;CABECERA MUNICIPAL (CM);-75.55466731;;6.334065583;;MUNICIPIO;AREA METROPOLITANA DEL VALLE DE ABURRÁ
05091;05091000;ANTIOQUIA;BETANIA;BETANIA;CABECERA MUNICIPAL (CM);-75.97671394;;5.746196562;;MUNICIPIO;
05093;05093000;ANTIOQUIA;BETULIA;BETULIA;CABECERA MUNICIPAL (CM);-75.98451557;;6.115255533;;MUNICIPIO;
05101;05101000;ANTIOQUIA;CIUDAD BOLIVAR;CIUDAD BOLIVAR;CABECERA MUNICIPAL (CM);-76.02151068;;5.850272828;;MUNICIPIO;
05107;05107000;ANTIOQUIA;BRICEÑO;BRICEÑO;CABECERA MUNICIPAL (CM);-75.5503563;;7.112805514;;MUNICIPIO;
05113;05113000;ANTIOQUIA;BURITICA;BURITICA;CABECERA MUNICIPAL (CM);-75.90705615;;6.720647755;;MUNICIPIO;
05120;05120000;ANTIOQUIA;CACERES;CACERES;CABECERA MUNICIPAL (CM);-75.35235732;;7.578314743;;MUNICIPIO;
05125;05125000;ANTIOQUIA;CAICEDO;CAICEDO;CABECERA MUNICIPAL (CM);-75.98281236;;6.405563974;;MUNICIPIO;
05129;05129000;ANTIOQUIA;CALDAS;CALDAS;CABECERA MUNICIPAL (CM);-75.63361682;;6.091297603;;MUNICIPIO;AREA METROPOLITANA DEL VALLE DE ABURRÁ
05134;05134000;ANTIOQUIA;CAMPAMENTO;CAMPAMENTO;CABECERA MUNICIPAL (CM);-75.29808478;;6.979776483;;MUNICIPIO;
05138;05138000;ANTIOQUIA;CAÑASGORDAS;CAÑASGORDAS;CABECERA MUNICIPAL (CM);-76.02822372;;6.753844383;;MUNICIPIO;
05142;05142000;ANTIOQUIA;CARACOLI;CARACOLI;CABECERA MUNICIPAL (CM);-74.75745429;;6.409851758;;MUNICIPIO;
05145;05145000;ANTIOQUIA;CARAMANTA;CARAMANTA;CABECERA MUNICIPAL (CM);-75.64387127;;5.548534272;;MUNICIPIO;
05147;05147000;ANTIOQUIA;CAREPA;CAREPA;CABECERA MUNICIPAL (CM);-76.65321074;;7.755115482;;MUNICIPIO;
