UCP,VARIABLE,FECHA,TIPO DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,TOTAL,PO19,PO20,PO21
UANTIOQUIA,Demanda_Real,2018-01-01,1--ENE,709.07,671.32,645.32,621.37,609.46,625.38,564.33,560.45,634.04,683.4,729.95,762.95,775.49,781.65,757.69,754.08,758.84,822.85,900.98,899.47,849.76,784.74,714.76,788.72,17406.05,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-02,2--ENE,642.29,584.55,597.36,608.16,658.09,723.49,786.82,881.0,958.86,1016.4,1081.69,1110.25,1123.95,1102.57,1099.93,1077.33,1066.33,1105.78,1178.38,1144.6,1066.61,957.26,855.7,764.84,22192.24,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-03,MIVENE,715.0,689.09,676.56,691.08,718.27,806.76,849.78,924.08,994.75,1093.39,1144.3,1172.92,1177.8,1170.12,1164.15,1148.67,1119.48,1123.13,1217.5,1183.01,1099.66,986.13,919.6,899.96,23685.19,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-04,JUVENE,735.5,697.68,695.98,711.07,758.93,820.65,874.45,947.58,1030.92,1046.87,1137.19,1152.98,1166.74,1190.21,1170.84,1140.83,1119.94,1096.71,1214.98,1216.33,1132.49,1046.22,871.61,766.75,23743.46,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-05,VIVENE,726.38,707.54,704.45,701.31,727.51,833.59,855.94,980.89,1049.52,1096.84,1158.96,1208.49,1189.23,1160.0,1157.79,1137.46,1106.19,1114.84,1199.5,1175.5,1100.38,976.7,892.32,807.87,23769.21,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-06,SAALFENE,767.92,747.76,727.18,714.32,750.71,751.92,825.03,905.98,969.62,1035.67,1073.74,1100.69,1109.82,1065.75,1020.5,1017.53,1003.09,1056.65,1145.03,1117.79,1041.49,952.11,870.64,811.57,22582.53,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-07,DOALFENE,736.51,688.24,669.44,675.47,683.22,695.43,709.68,770.89,805.21,854.58,892.1,971.67,921.46,896.69,899.35,886.23,878.95,921.56,1020.07,1012.81,958.42,889.9,864.64,828.04,20130.57,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-08,LFENE,696.28,667.14,646.45,647.24,665.49,686.18,695.93,758.43,822.99,869.92,916.89,966.66,975.69,953.74,927.96,899.42,897.22,955.69,1063.95,1055.9,998.25,911.3,814.14,752.86,20245.7,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-09,MAVENE,721.42,708.04,670.58,704.64,764.26,849.59,880.85,889.11,1071.8,1122.43,1180.68,1219.92,1182.23,1178.81,1166.72,1190.94,1133.58,1176.94,1227.31,1206.99,1123.35,997.82,998.44,833.0,24199.47,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-10,MIVENE,740.71,721.76,713.59,735.21,789.54,869.89,918.72,984.81,1044.89,1149.74,1194.06,1241.98,1239.43,1223.16,1219.02,1215.9,1185.41,1198.6,1249.21,1224.42,1180.87,1095.81,930.2,779.82,24846.76,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-11,JUVENE,763.07,780.07,739.73,711.58,788.44,902.7,998.53,1062.86,1119.47,1171.81,1225.08,1255.86,1244.99,1224.86,1230.19,1224.89,1198.75,1205.55,1277.11,1250.35,1157.59,1060.63,941.32,977.63,25513.05,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-12,VIVENE,777.91,752.92,744.69,765.15,833.92,846.6,929.52,1065.62,1131.9,1168.2,1215.87,1256.75,1243.73,1227.37,1227.89,1219.77,1194.63,1192.43,1267.08,1225.23,1157.79,1052.59,1056.77,860.71,25415.03,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-13,SAVENE,778.26,750.82,741.78,747.73,787.74,839.28,914.22,995.75,1062.82,1102.09,1152.73,1184.02,1166.64,1116.43,1079.76,1065.4,1038.3,1083.99,1168.47,1151.85,1075.84,962.48,813.67,682.23,23462.29,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-14,DOVENE,736.03,703.89,683.88,685.55,706.02,726.25,733.59,783.64,845.64,899.35,956.53,992.94,998.29,977.93,952.74,933.61,926.04,965.52,1044.72,1067.88,1021.8,954.48,889.01,934.3,21119.65,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-15,LUNES,739.7,719.37,709.44,732.62,812.35,917.85,1000.44,1069.47,1128.13,1171.31,1230.83,1240.09,1218.27,1214.1,1218.1,1207.76,1172.1,1195.89,1270.35,1245.17,1155.52,1048.42,936.44,848.52,25202.24,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-16,MARTES,782.55,751.52,740.51,763.89,843.5,965.07,1018.66,1057.52,1084.0,1179.18,1262.33,1257.94,1224.5,1233.9,1219.17,1219.18,1214.69,1171.24,1280.56,1276.38,1219.33,1079.98,909.69,813.66,25568.95,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-17,MIERCOLES,764.98,745.45,740.78,757.41,843.32,954.39,1006.48,956.1,1097.26,1182.6,1203.0,1256.32,1240.38,1205.55,1220.78,1219.15,1282.15,1190.1,1259.12,1261.15,1240.86,1099.69,954.56,841.21,25522.81,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-18,JUEVES,775.56,754.48,748.11,771.92,857.19,974.86,1048.65,1119.75,1156.68,1206.7,1267.99,1328.47,1337.9,1250.18,1269.17,1257.74,1209.48,1130.73,1241.79,1276.75,1224.72,1045.57,919.23,859.36,26032.97,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-19,VIERNES,787.13,768.56,768.92,793.36,857.23,919.35,1035.54,1056.06,1145.49,1198.62,1274.06,1298.23,1275.87,1249.24,1241.1,1225.77,1177.36,1168.24,1247.46,1233.78,1158.52,1091.14,1002.42,835.03,25808.49,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-20,SABADO,827.15,799.14,789.49,774.51,840.08,887.89,945.79,1030.08,1096.5,1144.41,1199.28,1221.3,1201.58,1153.86,1112.83,1089.47,1062.57,1082.83,1164.58,1169.03,1102.05,1001.86,941.25,852.92,24490.45,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-21,DOMINGO,830.31,708.32,793.85,722.15,731.07,743.5,657.06,808.55,863.17,918.06,964.89,1009.28,1015.18,987.38,960.26,933.75,909.07,941.28,1045.19,1056.69,1007.09,963.46,948.15,743.52,21261.21,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-22,LUNES,776.15,762.81,759.22,781.69,864.86,975.97,1043.04,1118.35,1160.53,1195.56,1267.6,1291.28,1273.75,1247.77,1240.46,1225.27,1193.33,1196.89,1270.87,1248.23,1167.76,1059.93,943.38,866.89,25931.58,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-23,MARTES,815.64,796.83,790.88,817.9,903.17,1012.4,1070.26,1137.93,1181.36,1226.16,1285.14,1304.3,1280.86,1256.13,1258.84,1246.16,1208.5,1227.38,1288.68,1270.31,1179.32,1081.03,981.48,936.92,26557.56,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-24,MIERCOLES,908.94,798.83,800.58,822.82,909.23,997.23,1038.7,1094.94,1173.92,1244.15,1286.54,1316.76,1287.79,1268.09,1274.81,1269.84,1229.95,1220.9,1287.4,1278.62,1201.83,1126.32,1083.18,918.5,26839.87,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-25,JUEVES,826.56,800.35,798.45,824.62,888.3,965.91,1033.88,1093.58,1182.0,1232.96,1306.07,1324.79,1301.78,1284.31,1288.18,1280.63,1247.2,1238.22,1300.16,1282.28,1205.8,1110.16,1125.27,884.97,26826.45,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-26,VIERNES,820.74,794.82,787.48,807.22,890.58,1005.1,1083.35,1155.07,1204.01,1241.02,1263.7,1326.99,1280.2,1252.52,1273.24,1272.45,1239.1,1220.14,1297.19,1301.11,1222.8,1111.71,999.15,853.66,26703.36,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-27,SABADO,771.59,820.82,758.21,782.15,835.62,894.97,957.09,1048.91,1126.47,1182.91,1228.74,1250.84,1233.01,1181.82,1150.64,1128.89,1107.56,1117.65,1215.45,1220.11,1149.24,1034.93,929.91,936.49,25064.01,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-28,DOMINGO,812.14,737.06,712.3,707.89,719.88,735.75,752.84,797.04,867.15,921.68,958.99,1000.39,1018.96,996.57,971.16,951.76,933.73,955.45,1066.32,1095.22,1055.34,987.73,902.99,676.6,21334.93,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-29,LUNES,766.48,744.06,740.06,760.21,842.0,982.32,1057.05,1135.49,1190.9,1250.02,1301.21,1317.47,1309.42,1303.13,1308.94,1297.23,1269.82,1240.45,1328.89,1317.49,1236.68,1099.31,1018.47,901.01,26718.09,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-30,MARTES,850.46,792.63,790.0,762.64,840.37,983.39,1066.29,1146.71,1196.25,1241.99,1303.86,1332.74,1316.3,1297.51,1304.97,1305.46,1281.67,1221.67,1315.26,1322.32,1229.52,1120.34,1042.24,954.48,27019.05,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-01-31,MIERCOLES,846.98,777.1,766.64,778.22,866.39,998.26,1032.21,1055.95,1164.35,1237.63,1295.53,1318.4,1295.21,1290.1,1283.89,1288.88,1255.31,1235.97,1298.92,1320.89,1245.77,1175.52,1030.59,947.54,26806.26,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-02-01,JUEVES,810.49,787.08,775.41,758.65,765.07,1008.04,1089.8,1232.93,1175.47,1253.9,1279.91,1306.73,1290.94,1273.68,1275.14,1269.37,1221.88,1195.68,1233.01,1359.63,1285.4,1110.88,1008.26,925.03,26692.39,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-02-02,VIERNES,801.13,784.55,768.97,789.11,872.04,1002.29,1081.23,1135.94,1187.3,1229.01,1283.15,1317.19,1295.76,1277.73,1279.99,1256.64,1229.03,1229.16,1290.92,1315.34,1215.76,1092.2,966.18,773.63,26474.23,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-02-03,SABADO,812.3,757.74,762.43,773.55,814.03,878.6,940.0,1013.0,1080.18,1136.61,1188.35,1212.23,1205.1,1150.02,1104.39,1090.18,1074.72,1088.16,1172.39,1185.53,1117.27,1003.86,899.89,822.74,24283.29,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-02-04,DOMINGO,755.21,715.1,694.56,682.78,692.42,717.77,731.08,781.09,848.9,902.54,953.46,995.49,1005.31,987.13,965.42,941.01,925.01,950.11,1060.17,1087.54,1044.58,975.53,908.3,951.53,21272.03,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-02-05,LUNES,748.89,729.24,720.65,727.88,821.89,966.25,1038.59,1105.92,1168.07,1202.51,1263.46,1276.97,1259.56,1249.8,1258.33,1242.73,1245.11,1217.9,1302.09,1298.36,1217.2,1092.4,966.7,839.82,25960.31,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-02-06,MARTES,801.01,774.51,760.89,775.69,875.33,1008.87,1076.51,1127.89,1172.98,1221.89,1278.06,1303.68,1291.91,1278.65,1289.19,1280.59,1249.44,1216.93,1303.49,1321.35,1232.92,1113.89,896.17,808.01,26459.84,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-02-07,MIERCOLES,812.7,784.98,798.55,770.39,873.95,1017.8,1080.12,1134.97,1185.67,1234.67,1287.01,1309.13,1281.51,1278.62,1296.99,1298.36,1272.28,1244.33,1317.82,1321.88,1243.34,1113.57,1091.34,921.55,26971.56,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-02-08,JUEVES,816.36,788.37,775.68,794.18,888.29,1024.43,1084.54,1119.4,1165.59,1207.67,1272.77,1334.33,1312.18,1281.57,1305.01,1308.03,1298.02,1216.11,1284.58,1325.79,1295.55,1207.06,988.57,884.79,26978.85,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-02-09,VIERNES,815.15,785.03,777.98,797.15,841.52,1002.78,1077.6,1096.42,1127.47,1236.5,1286.45,1312.42,1297.9,1280.2,1294.44,1288.52,1292.43,1183.21,1291.65,1303.25,1278.8,1129.25,1071.95,929.6,26797.67,0.0,0.0,0.0
UANTIOQUIA,Demanda_Real,2018-02-10,SABADO,828.04,794.94,778.2,787.0,832.36,890.98,956.84,1041.76,1114.08,1161.72,1212.18,1240.59,1224.11,1165.52,1130.77,1115.65,1094.18,1091.61,1158.25,1179.9,1135.33,1025.47,945.49,846.09,24751.05,0.0,0.0,0.0
